Instance,Burke2008,Pillay2010,Demeester2012,Leite2014,cMA
car91,4.68,5.05,4.64,4.45,4.41
car92,3.92,4.28,3.86,3.77,3.72
ear83,32.91,36.49,32.69,32.69,32.62
hec92,10.22,11.69,10.06,10.06,10.05
kfu93,13.02,14.42,13.24,13,12.84
lse91,10.14,10.95,10.21,9.93,9.81
pur93,4.71,4.7,5.75,4.17,4.17
rye92,8.06,9.41,8.2,8.06,7.94
sta83,157.05,158.07,157.05,157.03,157.03
tre92,7.89,8.45,7.79,7.8,7.71
uta92,3.26,3.39,3.17,3.15,3.04
ute92,24.82,27.45,24.88,24.81,24.83
yor83,35.16,39.74,34.83,34.73,34.74
